Город/День,,26-05,27-05,28-05,29-05,30-05,Среднее,Рейтинг
Abu Dhabi,"Температура, среднее",34.8,34.5,33.8,34.0,Недостаточно данных,34.3,1
,"Без осадков, среднее",11,11,11,2,Недостаточно данных,8.8,
Cairo,"Температура, среднее",32.5,33.2,34.5,Недостаточно данных,Недостаточно данных,33.4,2
,"Без осадков, среднее",11,11,11,Недостаточно данных,Недостаточно данных,11.0,
Baoding District,"Температура, среднее",31.8,32.7,33.8,28.2,Недостаточно данных,31.6,3
,"Без осадков, среднее",11,11,11,6,Недостаточно данных,9.8,
Rome,"Температура, среднее",29.0,29.3,25.5,Недостаточно данных,Недостаточно данных,27.9,4
,"Без осадков, среднее",11,11,11,Недостаточно данных,Недостаточно данных,11.0,
Bucharest,"Температура, среднее",27.5,26.1,27.8,18.0,Недостаточно данных,24.9,5
,"Без осадков, среднее",11,11,11,1,Недостаточно данных,8.5,
Volgograd,"Температура, среднее",22.1,21.9,25.6,25.0,Недостаточно данных,23.6,6
,"Без осадков, среднее",11,11,11,1,Недостаточно данных,8.5,
Novosibirsk,"Температура, среднее",24.9,22.5,23.3,22.2,Недостаточно данных,23.2,7
,"Без осадков, среднее",11,11,11,5,Недостаточно данных,9.5,
Étréchy,"Температура, среднее",17.6,17.4,17.0,Недостаточно данных,Недостаточно данных,17.3,8
,"Без осадков, среднее",9,11,11,Недостаточно данных,Недостаточно данных,10.3,
Teltow-Fläming,"Температура, среднее",19.3,16.0,13.6,Недостаточно данных,Недостаточно данных,16.3,9
,"Без осадков, среднее",9,6,0,Недостаточно данных,Недостаточно данных,5.0,
London,"Температура, среднее",17.4,16.3,14.6,Недостаточно данных,Недостаточно данных,16.1,10
,"Без осадков, среднее",11,11,11,Недостаточно данных,Недостаточно данных,11.0,
Powiat Warszawa,"Температура, среднее",19.6,14.0,12.8,Недостаточно данных,Недостаточно данных,15.5,11
,"Без осадков, среднее",11,3,0,Недостаточно данных,Недостаточно данных,4.7,
Moscow,"Температура, среднее",17.7,13.1,12.2,12.0,Недостаточно данных,13.8,12
,"Без осадков, среднее",7,0,0,1,Недостаточно данных,2.0,
City of Kazan,"Температура, среднее",12.5,13.7,14.7,14.0,Недостаточно данных,13.7,13
,"Без осадков, среднее",6,0,3,1,Недостаточно данных,2.5,
Kaliningrad,"Температура, среднее",15.4,12.8,11.6,Недостаточно данных,Недостаточно данных,13.3,14
,"Без осадков, среднее",9,2,1,Недостаточно данных,Недостаточно данных,4.0,
Saint Petersburg,"Температура, среднее",12.2,11.8,11.6,12.0,Недостаточно данных,11.9,15
,"Без осадков, среднее",3,0,0,1,Недостаточно данных,1.0,
